index,Date,week,Relevance,occurrences_rolling,occurrences_lead1,occurrences_lead2,occurrences_lead3,FTSE100,FTSEALL
3,1994-01-04,1,0.0,0.6666666666666666,0.0,0.0,1.0,3408.5,1679.71
4,1994-01-05,1,0.0,0.0,0.0,1.0,1.0,3379.2,1671.92
5,1994-01-06,1,0.0,0.0,1.0,1.0,2.0,3403.0,1683.61
6,1994-01-07,1,1.0,0.3333333333333333,1.0,2.0,0.0,3446.0,1705.99
9,1994-01-10,2,0.0,1.0,1.0,0.0,1.0,3440.6,1703.84
10,1994-01-11,2,1.0,1.0,0.0,1.0,0.0,3413.8,1693.39
11,1994-01-12,2,0.0,0.3333333333333333,1.0,0.0,1.0,3372.0,1675.86
12,1994-01-13,2,1.0,0.6666666666666666,0.0,1.0,0.0,3360.0,1673.12
13,1994-01-14,2,0.0,0.3333333333333333,1.0,0.0,1.0,3400.6,1691.38
16,1994-01-17,3,1.0,0.6666666666666666,1.0,0.0,1.0,3407.8,1697.81
17,1994-01-18,3,1.0,0.6666666666666666,0.0,1.0,1.0,3437.0,1715.63
18,1994-01-19,3,0.0,0.6666666666666666,1.0,1.0,0.0,3475.1,1743.78
19,1994-01-20,3,1.0,0.6666666666666666,1.0,0.0,1.0,3470.0,1738.06
20,1994-01-21,3,1.0,0.6666666666666666,0.0,1.0,0.0,3484.2,1743.65
23,1994-01-24,4,0.0,0.3333333333333333,0.0,1.0,0.0,3481.4,1742.31
24,1994-01-25,4,0.0,0.3333333333333333,1.0,0.0,1.0,3444.0,1727.99
25,1994-01-26,4,1.0,0.3333333333333333,0.0,1.0,0.0,3436.1,1723.99
26,1994-01-27,4,0.0,0.3333333333333333,1.0,0.0,0.0,3427.3,1720.79
27,1994-01-28,4,1.0,0.6666666666666666,0.0,0.0,2.0,3447.4,1727.31
30,1994-01-31,5,2.0,0.6666666666666666,0.0,1.0,0.0,3491.8,1745.95
31,1994-02-01,5,0.0,0.6666666666666666,1.0,0.0,0.0,3481.5,1745.25
32,1994-02-02,5,1.0,1.0,0.0,0.0,2.0,3520.3,1764.11
33,1994-02-03,5,0.0,0.3333333333333333,0.0,2.0,0.0,3491.5,1754.48
34,1994-02-04,5,0.0,0.3333333333333333,2.0,0.0,1.0,3475.4,1748.37
37,1994-02-07,6,1.0,1.0,0.0,1.0,0.0,3419.1,1719.48
38,1994-02-08,6,0.0,0.3333333333333333,1.0,0.0,0.0,3440.2,1733.58
39,1994-02-09,6,1.0,0.6666666666666666,0.0,0.0,0.0,3429.1,1726.82
40,1994-02-10,6,0.0,0.3333333333333333,0.0,0.0,2.0,3407.0,1715.97
41,1994-02-11,6,0.0,0.3333333333333333,0.0,2.0,2.0,3378.9,1701.53
44,1994-02-14,7,2.0,1.3333333333333333,1.0,0.0,0.0,3363.5,1693.96
45,1994-02-15,7,1.0,1.6666666666666667,0.0,0.0,0.0,3393.2,1706.51
46,1994-02-16,7,0.0,1.0,0.0,0.0,1.0,3417.7,1717.78
47,1994-02-17,7,0.0,0.3333333333333333,0.0,1.0,2.0,3425.3,1721.09
48,1994-02-18,7,0.0,0.0,1.0,2.0,0.0,3382.6,1703.02
51,1994-02-21,8,0.0,1.0,1.0,0.0,1.0,3350.3,1686.96
52,1994-02-22,8,1.0,1.0,0.0,1.0,0.0,3333.7,1679.41
53,1994-02-23,8,0.0,0.3333333333333333,1.0,0.0,2.0,3341.9,1682.93
54,1994-02-24,8,1.0,0.6666666666666666,0.0,2.0,1.0,3267.5,1650.46
55,1994-02-25,8,0.0,0.3333333333333333,2.0,1.0,1.0,3281.2,1654.67
58,1994-02-28,9,1.0,1.3333333333333333,2.0,0.0,0.0,3328.1,1675.49
59,1994-03-01,9,2.0,1.3333333333333333,0.0,0.0,0.0,3270.6,1653.13
60,1994-03-02,9,0.0,1.0,0.0,0.0,0.0,3248.1,1640.13
61,1994-03-03,9,0.0,0.6666666666666666,0.0,0.0,0.0,3246.5,1639.98
62,1994-03-04,9,0.0,0.0,0.0,0.0,1.0,3278.0,1653.28
65,1994-03-07,10,1.0,0.3333333333333333,2.0,0.0,0.0,3305.9,1664.55
66,1994-03-08,10,2.0,1.0,0.0,0.0,1.0,3264.4,1648.2
67,1994-03-09,10,0.0,1.0,0.0,1.0,1.0,3246.7,1640.68
68,1994-03-10,10,0.0,0.6666666666666666,1.0,1.0,1.0,3233.9,1635.49
69,1994-03-11,10,1.0,0.3333333333333333,1.0,1.0,0.0,3191.9,1615.12
72,1994-03-14,11,0.0,0.6666666666666666,1.0,1.0,2.0,3233.4,1632.78
73,1994-03-15,11,1.0,0.6666666666666666,1.0,2.0,2.0,3267.4,1646.57
74,1994-03-16,11,1.0,0.6666666666666666,2.0,2.0,0.0,3242.9,1636.52
75,1994-03-17,11,2.0,1.3333333333333333,2.0,0.0,2.0,3255.7,1640.76
76,1994-03-18,11,2.0,1.6666666666666667,0.0,2.0,0.0,3218.1,1624.88
79,1994-03-21,12,0.0,0.6666666666666666,2.0,0.0,1.0,3198.0,1616.26
80,1994-03-22,12,2.0,1.3333333333333333,0.0,1.0,2.0,3201.5,1617.05
81,1994-03-23,12,0.0,0.6666666666666666,1.0,2.0,1.0,3155.3,1597.2
82,1994-03-24,12,1.0,1.0,2.0,1.0,1.0,3121.7,1581.44
83,1994-03-25,12,2.0,1.0,1.0,1.0,0.0,3129.0,1581.24
86,1994-03-28,13,0.0,0.6666666666666666,0.0,1.0,1.0,3129.5,1582.0
87,1994-03-29,13,0.0,0.3333333333333333,1.0,1.0,0.0,3123.4,1579.99
88,1994-03-30,13,1.0,0.3333333333333333,1.0,0.0,1.0,3092.4,1566.15
89,1994-03-31,13,1.0,0.6666666666666666,0.0,1.0,1.0,3086.4,1561.97
94,1994-04-05,14,0.0,0.6666666666666666,0.0,0.0,0.0,3116.2,1573.23
95,1994-04-06,14,0.0,0.3333333333333333,0.0,0.0,0.0,3131.5,1580.52
96,1994-04-07,14,0.0,0.0,0.0,0.0,0.0,3129.0,1578.41
97,1994-04-08,14,0.0,0.0,0.0,0.0,1.0,3120.8,1574.62
100,1994-04-11,15,1.0,0.3333333333333333,0.0,0.0,3.0,3149.4,1587.25
101,1994-04-12,15,0.0,0.3333333333333333,0.0,3.0,1.0,3159.1,1593.95
102,1994-04-13,15,0.0,0.3333333333333333,3.0,1.0,2.0,3145.8,1588.59
103,1994-04-14,15,3.0,1.0,1.0,2.0,0.0,3131.7,1582.7
104,1994-04-15,15,1.0,1.3333333333333333,2.0,0.0,1.0,3168.3,1599.16
107,1994-04-18,16,1.0,1.0,1.0,0.0,1.0,3138.2,1587.45
108,1994-04-19,16,1.0,0.6666666666666666,0.0,1.0,0.0,3128.0,1582.94
109,1994-04-20,16,0.0,0.6666666666666666,1.0,0.0,2.0,3098.3,1569.95
110,1994-04-21,16,1.0,0.6666666666666666,0.0,2.0,2.0,3101.2,1571.02
111,1994-04-22,16,0.0,0.3333333333333333,2.0,2.0,0.0,3133.7,1583.61
114,1994-04-25,17,0.0,1.3333333333333333,0.0,0.0,1.0,3106.1,1571.74
115,1994-04-26,17,0.0,0.6666666666666666,0.0,1.0,0.0,3125.3,1579.75
116,1994-04-27,17,0.0,0.0,1.0,0.0,0.0,3150.0,1590.23
117,1994-04-28,17,1.0,0.3333333333333333,0.0,0.0,0.0,3129.9,1583.51
118,1994-04-29,17,0.0,0.3333333333333333,0.0,0.0,0.0,3125.3,1580.44
122,1994-05-03,18,1.0,0.3333333333333333,1.0,0.0,0.0,3100.0,1570.95
123,1994-05-04,18,1.0,0.6666666666666666,0.0,0.0,2.0,3070.5,1558.59
124,1994-05-05,18,0.0,0.6666666666666666,0.0,2.0,0.0,3106.0,1572.45
125,1994-05-06,18,0.0,0.3333333333333333,2.0,0.0,2.0,3106.0,1572.45
128,1994-05-09,19,2.0,1.3333333333333333,0.0,0.0,0.0,3097.8,1566.43
129,1994-05-10,19,0.0,0.6666666666666666,0.0,0.0,0.0,3136.3,1581.23
130,1994-05-11,19,0.0,0.6666666666666666,0.0,0.0,1.0,3130.5,1578.05
131,1994-05-12,19,0.0,0.0,0.0,1.0,1.0,3137.8,1580.45
132,1994-05-13,19,0.0,0.0,1.0,1.0,0.0,3119.2,1571.63
135,1994-05-16,20,0.0,0.6666666666666666,0.0,1.0,1.0,3115.6,1568.74
136,1994-05-17,20,0.0,0.3333333333333333,1.0,1.0,0.0,3123.5,1571.48
137,1994-05-18,20,1.0,0.3333333333333333,1.0,0.0,1.0,3116.5,1569.61
138,1994-05-19,20,1.0,0.6666666666666666,0.0,1.0,0.0,3122.8,1571.99
139,1994-05-20,20,0.0,0.6666666666666666,1.0,0.0,0.0,3127.3,1573.88
142,1994-05-23,21,0.0,0.3333333333333333,0.0,1.0,2.0,3108.4,1566.58
143,1994-05-24,21,0.0,0.0,1.0,2.0,0.0,3089.1,1557.62
144,1994-05-25,21,1.0,0.3333333333333333,2.0,0.0,0.0,3020.7,1526.62
145,1994-05-26,21,2.0,1.0,0.0,0.0,1.0,3019.7,1524.54
146,1994-05-27,21,0.0,1.0,0.0,1.0,0.0,2966.4,1500.86
150,1994-05-31,22,0.0,0.3333333333333333,1.0,0.0,1.0,2970.5,1501.22
151,1994-06-01,22,1.0,0.3333333333333333,0.0,1.0,0.0,2931.9,1484.63
152,1994-06-02,22,0.0,0.3333333333333333,1.0,0.0,0.0,2980.8,1503.89
153,1994-06-03,22,1.0,0.6666666666666666,0.0,0.0,1.0,2997.8,1509.98
156,1994-06-06,23,1.0,0.3333333333333333,1.0,0.0,0.0,3009.4,1515.38
157,1994-06-07,23,1.0,0.6666666666666666,0.0,0.0,0.0,3004.8,1514.1
158,1994-06-08,23,0.0,0.6666666666666666,0.0,0.0,0.0,3038.2,1528.04
159,1994-06-09,23,0.0,0.3333333333333333,0.0,0.0,1.0,3028.9,1524.57
