"Title","Subtitle","Author","Publication","SourceType","Publisher","Volume","Issue","PubDate","AlphaDate","StartPage","EndPage","PageRange","ISSN","EISSN","ISBN","Language","DocumentUrl","DOI"
"March 16, 2023 (Page 25)","","","Evening Standard (2018-)","Historical Newspapers","","","","2023-03-16","Mar 16, 2023","25","","","2516-6468","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/2788672207?accountid=10792&bdid=57412&_bd=ClNQVNt2AD6CAeISKXqjAl00%2B2A%3D",""
"Tougher media rules likely after 'cash for questions'","","David Hencke Westminster Correspondent","The Guardian (1959-2003)","Historical Newspapers","","","","1996-01-16","Jan 16, 1996","8","","","02613077","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/187735506?accountid=10792&bdid=57412&_bd=2hwxCYxtwoJmqlBoImgEhx1x874%3D",""
"Hamilton should go says Greer","Tatton Tories 'were misled'","David Hencke Westminster Correspondent","The Guardian (1959-2003)","Historical Newspapers","","","","1997-04-14","Apr 14, 1997","1","","","02613077","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/187950756?accountid=10792&bdid=57412&_bd=TNK98ICerIYpZQOOiR%2F3%2Btx5EyY%3D",""
"July 25, 2023 (Page 22)","","","Evening Standard (2018-)","Historical Newspapers","","","","2023-07-25","Jul 25, 2023","22","","","2516-6468","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/2843263026?accountid=10792&bdid=57412&_bd=o%2BNNFz81QluufdZKk8bJFza0Jxk%3D",""
"News in brief","Greer and Hamilton libel suits to be heard in tandem","","The Guardian (1959-2003)","Historical Newspapers","","","","1995-04-29","Apr 29, 1995","5","","","02613077","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/187646231?accountid=10792&bdid=57412&_bd=6euAbTifExeEPnxVrfKW1DExtK0%3D",""
"Sharon hit by votes-for-cash scandal in Likud","PM forced on defensive after police launch inquiry","McGreal, Chris","The Guardian (1959-2003)","Historical Newspapers","","","","2002-12-19","Dec 19, 2002","16","","","02613077","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/189028076?accountid=10792&bdid=57412&_bd=Etm%2FZ12FBSEpCiFvnYlFXebqB0E%3D",""
"Appeal for Hamilton ruled out","Scandal: MPs seek ideas on future procedure","David Hencke Westminster Correspondent","The Guardian (1959-2003)","Historical Newspapers","","","","1997-12-03","Dec 3, 1997","11A","","","02613077","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/188050990?accountid=10792&bdid=57412&_bd=NhFbMWNLO23z4qKDNVcp9rs2VPU%3D",""
"November 9, 2023 (Page 7)","","","Evening Standard (2018-)","Historical Newspapers","","","","2023-11-09","Nov 9, 2023","7","","","2516-6468","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/2889840571?accountid=10792&bdid=57412&_bd=ImbfBKue%2BoqsmikziJ0BRw06Ryc%3D",""
"'Cash for questions' ex-MPs offer apologies after criticism by Downey","","David Hencke Westminster Correspondent","The Guardian (1959-2003)","Historical Newspapers","","","","1997-07-25","Jul 25, 1997","10","","","02613077","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/188010694?accountid=10792&bdid=57412&_bd=xNErRX5HSnJ9rFcZWfG68oYiA8U%3D",""
"Prince's TV firm racks up £2m loss","Company results raise questions about Edward's financial affairs","Morris, Steven","The Guardian (1959-2003)","Historical Newspapers","","","","2000-11-01","Nov 1, 2000","5","","","02613077","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/188669721?accountid=10792&bdid=57412&_bd=GH1guNuUJGsQMlPPMSZAtr5p2IM%3D",""
"May 17, 2023 (Page 31)","","","Evening Standard (2018-)","Historical Newspapers","","","","2023-05-17","May 17, 2023","31","","","2516-6468","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/2816251557?accountid=10792&bdid=57412&_bd=vxiIwQ371QozPABSO5EW9dF40CI%3D",""
"Tory quits sleaze inquiry","MP's son due to give evidence over cash-for-questions affair","Hencke, David; MacAskill, Ewen","The Guardian (1959-2003)","Historical Newspapers","","","","1996-12-19","Dec 19, 1996","2","","","02613077","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/187846937?accountid=10792&bdid=57412&_bd=Lx3pj%2B%2FOrmsEFOGedxHYj%2FjdJPM%3D",""
