Date,Open,High,Low,Close
12/30/1994,"3,065.50","3,065.54","3,065.54","3,065.50"
12/29/1994,"3,065.60","3,065.65","3,065.65","3,065.60"
12/28/1994,"3,095.80","3,095.81","3,095.81","3,095.80"
12/23/1994,"3,083.40","3,083.40","3,083.40","3,083.40"
12/22/1994,"3,091.70","3,091.70","3,091.70","3,091.70"
12/21/1994,"3,070.40","3,070.40","3,070.40","3,070.40"
12/20/1994,"3,058.10","3,058.10","3,058.10","3,058.10"
12/19/1994,"3,034.40","3,034.44","3,034.44","3,034.40"
12/16/1994,"3,013.60","3,013.60","3,013.60","3,013.60"
12/15/1994,"2,973.40","2,973.40","2,973.40","2,973.40"
12/14/1994,"2,980.60","2,980.60","2,980.60","2,980.60"
12/13/1994,"2,946.40","2,946.40","2,946.40","2,946.40"
12/12/1994,"2,943.40","2,943.40","2,943.40","2,943.40"
12/09/1994,"2,977.30","2,977.30","2,977.30","2,977.30"
12/08/1994,"3,013.80","3,013.80","3,013.80","3,013.80"
12/07/1994,"3,012.50","3,012.50","3,012.50","3,012.50"
12/06/1994,"3,016.10","3,016.10","3,016.10","3,016.10"
12/05/1994,"3,033.50","3,033.50","3,033.50","3,033.50"
12/02/1994,"3,017.30","3,017.34","3,017.34","3,017.30"
12/01/1994,"3,039.60","3,039.65","3,039.65","3,039.60"
11/30/1994,"3,081.40","3,081.40","3,081.40","3,081.40"
11/29/1994,"3,061.10","3,061.10","3,061.10","3,061.10"
11/28/1994,"3,047.10","3,047.10","3,047.10","3,047.10"
11/25/1994,"3,033.50","3,033.50","3,033.50","3,033.50"
11/24/1994,"3,036.60","3,036.60","3,036.60","3,036.60"
11/23/1994,"3,027.50","3,027.50","3,027.50","3,027.50"
11/22/1994,"3,078.70","3,078.70","3,078.70","3,078.70"
11/21/1994,"3,121.00","3,121.00","3,121.00","3,121.00"
11/18/1994,"3,131.00","3,131.00","3,131.00","3,131.00"
11/17/1994,"3,127.50","3,127.50","3,127.50","3,127.50"
11/16/1994,"3,146.50","3,146.50","3,146.50","3,146.50"
11/15/1994,"3,135.40","3,135.40","3,135.40","3,135.40"
11/14/1994,"3,095.30","3,095.30","3,095.30","3,095.30"
11/11/1994,"3,075.90","3,075.90","3,075.90","3,075.90"
11/10/1994,"3,103.50","3,103.50","3,103.50","3,103.50"
11/09/1994,"3,099.60","3,099.60","3,099.60","3,099.60"
11/08/1994,"3,063.80","3,063.80","3,063.80","3,063.80"
11/07/1994,"3,065.80","3,065.80","3,065.80","3,065.80"
11/04/1994,"3,097.60","3,097.61","3,097.61","3,097.60"
11/03/1994,"3,104.40","3,104.36","3,104.36","3,104.40"
11/02/1994,"3,081.30","3,081.34","3,081.34","3,081.30"
11/01/1994,"3,096.30","3,096.29","3,096.29","3,096.30"
10/31/1994,"3,097.40","3,097.42","3,097.42","3,097.40"
10/28/1994,"3,083.80","3,083.79","3,083.79","3,083.80"
10/27/1994,"3,029.60","3,029.60","3,029.60","3,029.60"
10/26/1994,"2,999.90","2,999.90","2,999.90","2,999.90"
10/25/1994,"3,000.90","3,000.90","3,000.90","3,000.90"
10/24/1994,"3,029.10","3,029.10","3,029.10","3,029.10"
10/21/1994,"3,032.80","3,032.80","3,032.80","3,032.80"
10/20/1994,"3,063.20","3,063.20","3,063.20","3,063.20"
10/19/1994,"3,060.80","3,060.80","3,060.80","3,060.80"
10/18/1994,"3,085.30","3,085.30","3,085.30","3,085.30"
10/17/1994,"3,120.20","3,120.20","3,120.20","3,120.20"
10/14/1994,"3,106.70","3,106.70","3,106.70","3,106.70"
10/13/1994,"3,141.90","3,141.90","3,141.90","3,141.90"
10/12/1994,"3,100.50","3,100.50","3,100.50","3,100.50"
10/11/1994,"3,073.00","3,073.00","3,073.00","3,073.00"
10/10/1994,"3,032.30","3,032.30","3,032.30","3,032.30"
10/07/1994,"2,998.70","2,998.68","2,998.68","2,998.70"
10/06/1994,"2,984.40","2,984.37","2,984.37","2,984.40"
10/05/1994,"2,956.30","2,956.31","2,956.31","2,956.30"
10/04/1994,"3,001.80","3,001.76","3,001.76","3,001.80"
10/03/1994,"2,983.50","2,983.47","2,983.47","2,983.50"
09/30/1994,"3,026.30","3,026.30","3,026.30","3,026.30"
09/29/1994,"2,992.50","2,992.50","2,992.50","2,992.50"
09/28/1994,"3,038.70","3,038.70","3,038.70","3,038.70"
09/27/1994,"3,008.50","3,008.54","3,008.54","3,008.50"
09/26/1994,"2,999.80","2,999.83","2,999.83","2,999.80"
09/23/1994,"3,028.20","3,028.20","3,028.20","3,028.20"
09/22/1994,"3,021.20","3,021.20","3,021.20","3,021.20"
09/21/1994,"3,014.80","3,014.80","3,014.80","3,014.80"
09/20/1994,"3,037.30","3,037.30","3,037.30","3,037.30"
09/19/1994,"3,079.10","3,079.10","3,079.10","3,079.10"
09/16/1994,"3,065.10","3,065.10","3,065.10","3,065.10"
09/15/1994,"3,112.70","3,112.70","3,112.70","3,112.70"
09/14/1994,"3,079.80","3,079.80","3,079.80","3,079.80"
09/13/1994,"3,121.40","3,121.40","3,121.40","3,121.40"
09/12/1994,"3,128.80","3,128.80","3,128.80","3,128.80"
09/09/1994,"3,139.30","3,139.30","3,139.30","3,139.30"
09/08/1994,"3,180.00","3,180.01","3,180.01","3,180.00"
09/07/1994,"3,203.90","3,203.85","3,203.85","3,203.90"
09/06/1994,"3,205.40","3,205.43","3,205.43","3,205.40"
09/05/1994,"3,241.50","3,241.46","3,241.46","3,241.50"
09/02/1994,"3,222.70","3,222.68","3,222.68","3,222.70"
09/01/1994,"3,216.50","3,216.50","3,216.50","3,216.50"
08/31/1994,"3,251.30","3,251.30","3,251.30","3,251.30"
08/30/1994,"3,249.60","3,249.60","3,249.60","3,249.60"
08/26/1994,"3,265.10","3,265.10","3,265.10","3,265.10"
08/25/1994,"3,234.20","3,234.20","3,234.20","3,234.20"
08/24/1994,"3,205.20","3,205.20","3,205.20","3,205.20"
08/23/1994,"3,175.10","3,175.10","3,175.10","3,175.10"
08/22/1994,"3,171.30","3,171.30","3,171.30","3,171.30"
08/19/1994,"3,191.40","3,191.40","3,191.40","3,191.40"
08/18/1994,"3,182.60","3,182.60","3,182.60","3,182.60"
08/17/1994,"3,190.30","3,190.30","3,190.30","3,190.30"
08/16/1994,"3,147.30","3,147.30","3,147.30","3,147.30"
08/15/1994,"3,142.20","3,142.20","3,142.20","3,142.20"
08/12/1994,"3,142.30","3,142.30","3,142.30","3,142.30"
08/11/1994,"3,138.20","3,138.20","3,138.20","3,138.20"
08/10/1994,"3,167.00","3,167.00","3,167.00","3,167.00"
08/09/1994,"3,168.60","3,168.60","3,168.60","3,168.60"
08/08/1994,"3,171.90","3,171.90","3,171.90","3,171.90"
08/05/1994,"3,167.50","3,167.50","3,167.50","3,167.50"
08/04/1994,"3,150.50","3,150.50","3,150.50","3,150.50"
08/03/1994,"3,160.40","3,160.40","3,160.40","3,160.40"
08/02/1994,"3,157.50","3,157.50","3,157.50","3,157.50"
08/01/1994,"3,097.40","3,097.40","3,097.40","3,097.40"
07/29/1994,"3,082.60","3,082.60","3,082.60","3,082.60"
07/28/1994,"3,095.90","3,095.90","3,095.90","3,095.90"
07/27/1994,"3,082.30","3,082.34","3,082.34","3,082.30"
07/26/1994,"3,117.20","3,117.18","3,117.18","3,117.20"
07/25/1994,"3,106.10","3,106.15","3,106.15","3,106.10"
07/22/1994,"3,114.70","3,114.69","3,114.69","3,114.70"
07/21/1994,"3,095.10","3,095.13","3,095.13","3,095.10"
07/20/1994,"3,077.20","3,077.20","3,077.20","3,077.20"
07/19/1994,"3,091.30","3,091.30","3,091.30","3,091.30"
07/18/1994,"3,082.00","3,082.00","3,082.00","3,082.00"
07/15/1994,"3,074.80","3,074.78","3,074.78","3,074.80"
07/14/1994,"3,050.40","3,050.38","3,050.38","3,050.40"
07/13/1994,"3,005.30","3,005.32","3,005.32","3,005.30"
07/12/1994,"2,963.90","2,963.91","2,963.91","2,963.90"
07/11/1994,"2,983.80","2,983.80","2,983.80","2,983.80"
07/08/1994,"2,962.40","2,962.40","2,962.40","2,962.40"
07/07/1994,"2,964.40","2,964.40","2,964.40","2,964.40"
07/06/1994,"2,946.70","2,946.70","2,946.70","2,946.70"
07/05/1994,"2,965.00","2,965.00","2,965.00","2,965.00"
07/04/1994,"2,970.40","2,970.44","2,970.44","2,970.40"
07/01/1994,"2,936.40","2,936.40","2,936.40","2,936.40"
06/30/1994,"2,919.20","2,919.20","2,919.20","2,919.20"
06/29/1994,"2,946.30","2,946.30","2,946.30","2,946.30"
06/28/1994,"2,909.00","2,909.00","2,909.00","2,909.00"
06/27/1994,"2,899.90","2,899.90","2,899.90","2,899.90"
