Date,Open,High,Low,Close,Volume
"Friday, December 30, 1994","1,521.44","1,521.44","1,521.44","1,521.44",0
"Thursday, December 29, 1994","1,521.15","1,521.15","1,521.15","1,521.15",0
"Wednesday, December 28, 1994","1,532.64","1,532.64","1,532.64","1,532.64",0
"Friday, December 23, 1994","1,526.37","1,526.37","1,526.37","1,526.37",0
"Thursday, December 22, 1994","1,529.09","1,529.09","1,529.09","1,529.09",0
"Wednesday, December 21, 1994","1,519.42","1,519.42","1,519.42","1,519.42",0
"Tuesday, December 20, 1994","1,514.74","1,514.74","1,514.74","1,514.74",0
"Monday, December 19, 1994","1,505.86","1,505.86","1,505.86","1,505.86",0
"Friday, December 16, 1994","1,496.05","1,496.05","1,496.05","1,496.05",0
"Thursday, December 15, 1994","1,479.60","1,479.60","1,479.60","1,479.60",0
"Wednesday, December 14, 1994","1,481.19","1,481.19","1,481.19","1,481.19",0
"Tuesday, December 13, 1994","1,466.01","1,466.01","1,466.01","1,466.01",0
"Monday, December 12, 1994","1,465.19","1,465.19","1,465.19","1,465.19",0
"Friday, December 09, 1994","1,479.86","1,479.86","1,479.86","1,479.86",0
"Thursday, December 08, 1994","1,496.39","1,496.39","1,496.39","1,496.39",0
"Wednesday, December 07, 1994","1,495.82","1,495.82","1,495.82","1,495.82",0
"Tuesday, December 06, 1994","1,497.72","1,497.72","1,497.72","1,497.72",0
"Monday, December 05, 1994","1,507.05","1,507.05","1,507.05","1,507.05",0
"Friday, December 02, 1994","1,501.44","1,501.44","1,501.44","1,501.44",0
"Thursday, December 01, 1994","1,511.21","1,511.21","1,511.21","1,511.21",0
"Wednesday, November 30, 1994","1,528.12","1,528.12","1,528.12","1,528.12",0
"Tuesday, November 29, 1994","1,520.09","1,520.09","1,520.09","1,520.09",0
"Monday, November 28, 1994","1,514.98","1,514.98","1,514.98","1,514.98",0
"Friday, November 25, 1994","1,509.03","1,509.03","1,509.03","1,509.03",0
"Thursday, November 24, 1994","1,510.28","1,510.28","1,510.28","1,510.28",0
"Wednesday, November 23, 1994","1,507.68","1,507.68","1,507.68","1,507.68",0
"Tuesday, November 22, 1994","1,532.32","1,532.32","1,532.32","1,532.32",0
"Monday, November 21, 1994","1,550.01","1,550.01","1,550.01","1,550.01",0
"Friday, November 18, 1994","1,554.22","1,554.22","1,554.22","1,554.22",0
"Thursday, November 17, 1994","1,553.02","1,553.02","1,553.02","1,553.02",0
"Wednesday, November 16, 1994","1,560.20","1,560.20","1,560.20","1,560.20",0
"Tuesday, November 15, 1994","1,553.90","1,553.90","1,553.90","1,553.90",0
"Monday, November 14, 1994","1,537.31","1,537.31","1,537.31","1,537.31",0
"Friday, November 11, 1994","1,530.39","1,530.39","1,530.39","1,530.39",0
"Thursday, November 10, 1994","1,540.93","1,540.93","1,540.93","1,540.93",0
"Wednesday, November 09, 1994","1,538.63","1,538.63","1,538.63","1,538.63",0
"Tuesday, November 08, 1994","1,524.42","1,524.42","1,524.42","1,524.42",0
"Monday, November 07, 1994","1,525.19","1,525.19","1,525.19","1,525.19",0
"Friday, November 04, 1994","1,538.05","1,538.05","1,538.05","1,538.05",0
"Thursday, November 03, 1994","1,540.02","1,540.02","1,540.02","1,540.02",0
"Wednesday, November 02, 1994","1,530.92","1,530.92","1,530.92","1,530.92",0
"Tuesday, November 01, 1994","1,536.51","1,536.51","1,536.51","1,536.51",0
"Monday, October 31, 1994","1,536.31","1,536.31","1,536.31","1,536.31",0
"Friday, October 28, 1994","1,529.82","1,529.82","1,529.82","1,529.82",0
"Thursday, October 27, 1994","1,508.35","1,508.35","1,508.35","1,508.35",0
"Wednesday, October 26, 1994","1,496.60","1,496.60","1,496.60","1,496.60",0
"Tuesday, October 25, 1994","1,497.76","1,497.76","1,497.76","1,497.76",0
"Monday, October 24, 1994","1,510.76","1,510.76","1,510.76","1,510.76",0
"Friday, October 21, 1994","1,512.29","1,512.29","1,512.29","1,512.29",0
"Thursday, October 20, 1994","1,525.58","1,525.58","1,525.58","1,525.58",0
"Wednesday, October 19, 1994","1,524.39","1,524.39","1,524.39","1,524.39",0
"Tuesday, October 18, 1994","1,534.40","1,534.40","1,534.40","1,534.40",0
"Monday, October 17, 1994","1,548.45","1,548.45","1,548.45","1,548.45",0
