Date,FTSE100,FTSEALL,index,week,occurrences,occurrences_rolling,occurrences_lead1,occurrences_lead2,occurrences_lead3
2009-04-14,3988.99,2043.86,0,1,0.0,0.0,0.0,0.0,2.0
2009-04-15,3968.4,2033.91,1,1,0.0,0.0,0.0,2.0,0.0
2009-04-16,4052.98,2075.6,2,1,0.0,0.0,2.0,0.0,0.0
2009-04-17,4092.8,2096.6,3,1,2.0,0.6666666666666666,0.0,0.0,4.0
2009-04-20,3990.86,2041.24,6,1,4.0,1.3333333333333333,2.0,1.0,4.0
2009-04-21,3987.46,2038.38,7,2,2.0,2.0,1.0,4.0,2.0
2009-04-22,4030.66,2063.52,8,2,1.0,2.3333333333333335,4.0,2.0,0.0
2009-04-23,4018.23,2059.08,9,2,4.0,2.3333333333333335,2.0,0.0,0.0
2009-04-24,4155.99,2127.37,10,2,2.0,2.3333333333333335,0.0,0.0,1.0
2009-04-27,4167.01,2128.84,13,2,1.0,0.3333333333333333,3.0,3.0,3.0
2009-04-28,4096.4,2093.13,14,3,3.0,1.3333333333333333,3.0,3.0,4.0
2009-04-29,4189.59,2142.42,15,3,3.0,2.3333333333333335,3.0,4.0,0.0
2009-04-30,4243.71,2173.06,16,3,3.0,3.0,4.0,0.0,0.0
2009-05-01,4243.22,2174.64,17,3,4.0,3.3333333333333335,0.0,0.0,0.0
2009-05-04,4243.22,2174.64,20,3,0.0,0.0,4.0,2.0,0.0
2009-05-05,4336.94,2226.6,21,4,4.0,1.3333333333333333,2.0,0.0,8.0
2009-05-06,4396.49,2254.16,22,4,2.0,2.0,0.0,8.0,0.0
2009-05-07,4398.68,2252.36,23,4,0.0,2.0,8.0,0.0,0.0
2009-05-08,4462.09,2281.46,24,4,8.0,3.3333333333333335,0.0,0.0,5.0
2009-05-11,4435.5,2262.67,27,4,5.0,1.6666666666666667,8.0,8.0,10.0
2009-05-12,4425.54,2258.45,28,5,8.0,4.333333333333333,8.0,10.0,8.0
2009-05-13,4331.37,2206.29,29,5,8.0,7.0,10.0,8.0,0.0
2009-05-14,4362.58,2222.28,30,5,10.0,8.666666666666666,8.0,0.0,0.0
2009-05-15,4348.11,2217.48,31,5,8.0,8.666666666666666,0.0,0.0,9.0
2009-05-18,4446.45,2264.48,34,5,9.0,3.0,7.0,10.0,4.0
2009-05-19,4482.25,2285.23,35,6,7.0,5.333333333333333,10.0,4.0,5.0
2009-05-20,4468.41,2280.7,36,6,10.0,8.666666666666666,4.0,5.0,0.0
2009-05-21,4345.47,2218.25,37,6,4.0,7.0,5.0,0.0,0.0
2009-05-22,4365.29,2227.98,38,6,5.0,6.333333333333333,0.0,0.0,0.0
2009-05-25,4365.29,2227.98,41,6,0.0,0.0,6.0,8.0,9.0
2009-05-26,4411.72,2247.79,42,7,6.0,2.0,8.0,9.0,8.0
2009-05-27,4416.23,2251.9,43,7,8.0,4.666666666666667,9.0,8.0,0.0
2009-05-28,4387.54,2237.17,44,7,9.0,7.666666666666667,8.0,0.0,0.0
2009-05-29,4417.94,2252.64,45,7,8.0,8.333333333333334,0.0,0.0,9.0
2009-06-01,4506.19,2298.13,48,7,9.0,3.0,8.0,9.0,5.0
2009-06-02,4477.02,2286.26,49,8,8.0,5.666666666666667,9.0,5.0,6.0
2009-06-03,4383.42,2242.2,50,8,9.0,8.666666666666666,5.0,6.0,0.0
2009-06-04,4386.94,2242.56,51,8,5.0,7.333333333333333,6.0,0.0,0.0
2009-06-05,4438.56,2268.69,52,8,6.0,6.666666666666667,0.0,0.0,5.0
2009-06-08,4405.22,2251.85,55,8,5.0,1.6666666666666667,4.0,4.0,0.0
2009-06-09,4404.79,2251.79,56,9,4.0,3.0,4.0,0.0,2.0
2009-06-10,4436.75,2267.51,57,9,4.0,4.333333333333333,0.0,2.0,0.0
2009-06-11,4461.87,2279.7,58,9,0.0,2.6666666666666665,2.0,0.0,0.0
2009-06-12,4441.95,2268.71,59,9,2.0,2.0,0.0,0.0,3.0
2009-06-15,4326.01,2210.02,62,9,3.0,1.0,4.0,8.0,9.0
2009-06-16,4328.57,2210.64,63,10,4.0,2.3333333333333335,8.0,9.0,6.0
2009-06-17,4278.46,2181.73,64,10,8.0,5.0,9.0,6.0,0.0
2009-06-18,4280.86,2179.78,65,10,9.0,7.0,6.0,0.0,0.0
2009-06-19,4345.93,2211.91,66,10,6.0,7.666666666666667,0.0,0.0,7.0
2009-06-22,4234.05,2156.49,69,10,7.0,2.3333333333333335,7.0,4.0,5.0
2009-06-23,4230.02,2155.11,70,11,7.0,4.666666666666667,4.0,5.0,1.0
2009-06-24,4279.98,2181.64,71,11,4.0,6.0,5.0,1.0,0.0
2009-06-25,4252.57,2170.4,72,11,5.0,5.333333333333333,1.0,0.0,0.0
2009-06-26,4241.01,2167.29,73,11,1.0,3.3333333333333335,0.0,0.0,5.0
2009-06-29,4294.03,2194.11,76,11,5.0,1.6666666666666667,2.0,1.0,0.0
2009-06-30,4249.21,2172.08,77,12,2.0,2.3333333333333335,1.0,0.0,0.0
2009-07-01,4340.71,2215.78,78,12,1.0,2.6666666666666665,0.0,0.0,0.0
