Date,Open,High,Low,Close
07/01/2009,"4,249.21","4,353.03","4,255.23","4,340.71"
06/30/2009,"4,294.03","4,311.23","4,230.63","4,249.21"
06/29/2009,"4,241.01","4,303.55","4,235.19","4,294.03"
06/26/2009,"4,252.57","4,307.16","4,216.46","4,241.01"
06/25/2009,"4,279.98","4,290.36","4,213.40","4,252.57"
06/24/2009,"4,230.02","4,293.00","4,218.39","4,279.98"
06/23/2009,"4,234.05","4,264.00","4,214.88","4,230.02"
06/22/2009,"4,345.93","4,343.85","4,234.05","4,234.05"
06/19/2009,"4,280.86","4,370.26","4,279.85","4,345.93"
06/18/2009,"4,278.46","4,305.43","4,239.74","4,280.86"
06/17/2009,"4,328.57","4,328.69","4,254.62","4,278.46"
06/16/2009,"4,326.01","4,372.85","4,321.56","4,328.57"
06/15/2009,"4,441.95","4,427.19","4,319.79","4,326.01"
06/12/2009,"4,461.87","4,471.95","4,427.24","4,441.95"
06/11/2009,"4,436.75","4,478.42","4,409.15","4,461.87"
06/10/2009,"4,404.79","4,505.89","4,422.84","4,436.75"
06/09/2009,"4,405.22","4,445.54","4,387.34","4,404.79"
06/08/2009,"4,438.56","4,436.61","4,370.55","4,405.22"
06/05/2009,"4,386.94","4,495.94","4,399.35","4,438.56"
06/04/2009,"4,383.42","4,436.25","4,359.66","4,386.94"
06/03/2009,"4,477.02","4,477.18","4,359.33","4,383.42"
06/02/2009,"4,506.19","4,494.90","4,435.92","4,477.02"
06/01/2009,"4,417.94","4,517.60","4,459.82","4,506.19"
05/29/2009,"4,387.54","4,469.43","4,415.18","4,417.94"
05/28/2009,"4,416.23","4,408.64","4,341.08","4,387.54"
05/27/2009,"4,411.72","4,439.79","4,390.23","4,416.23"
05/26/2009,"4,365.29","4,423.64","4,294.98","4,411.72"
05/25/2009,"4,365.29","4,393.07","4,335.01","4,365.29"
05/22/2009,"4,345.47","4,393.07","4,335.01","4,365.29"
05/21/2009,"4,468.41","4,439.37","4,325.77","4,345.47"
05/20/2009,"4,482.25","4,504.20","4,445.09","4,468.41"
05/19/2009,"4,446.45","4,512.70","4,445.48","4,482.25"
05/18/2009,"4,348.11","4,446.45","4,307.72","4,446.45"
05/15/2009,"4,362.58","4,400.72","4,317.23","4,348.11"
05/14/2009,"4,331.37","4,371.28","4,295.19","4,362.58"
05/13/2009,"4,425.54","4,447.96","4,328.17","4,331.37"
05/12/2009,"4,435.50","4,457.46","4,397.41","4,425.54"
05/11/2009,"4,462.09","4,470.05","4,401.52","4,435.50"
05/08/2009,"4,398.68","4,487.50","4,413.65","4,462.09"
05/07/2009,"4,396.49","4,520.82","4,380.27","4,398.68"
05/06/2009,"4,336.94","4,437.61","4,317.05","4,396.49"
05/05/2009,"4,243.22","4,375.35","4,271.18","4,336.94"
05/04/2009,"4,243.22","4,251.57","4,210.75","4,243.22"
05/01/2009,"4,243.71","4,251.57","4,210.75","4,243.22"
04/30/2009,"4,189.59","4,293.63","4,203.86","4,243.71"
04/29/2009,"4,096.40","4,193.32","4,089.46","4,189.59"
04/28/2009,"4,167.01","4,124.74","4,058.73","4,096.40"
04/27/2009,"4,155.99","4,179.17","4,088.67","4,167.01"
04/24/2009,"4,018.23","4,155.99","4,036.43","4,155.99"
04/23/2009,"4,030.66","4,082.31","3,999.06","4,018.23"
04/22/2009,"3,987.46","4,036.03","3,948.22","4,030.66"
04/21/2009,"3,990.86","4,019.16","3,897.25","3,987.46"
04/20/2009,"4,092.80","4,112.75","3,962.87","3,990.86"
04/17/2009,"4,052.98","4,114.32","4,043.21","4,092.80"
04/16/2009,"3,968.40","4,052.98","3,963.57","4,052.98"
04/15/2009,"3,988.99","4,023.35","3,941.61","3,968.40"
04/14/2009,"3,983.71","4,039.67","3,939.61","3,988.99"
