Date,Open,High,Low,Close
07/01/2009,"2,177.73","2,220.86","2,177.73","2,215.78"
06/30/2009,"2,200.48","2,200.48","2,165.16","2,172.08"
06/29/2009,"2,165.16","2,198.41","2,165.16","2,194.11"
06/26/2009,"2,186.31","2,196.35","2,156.17","2,167.29"
06/25/2009,"2,179.05","2,187.72","2,151.70","2,170.40"
06/24/2009,"2,155.10","2,187.42","2,151.59","2,181.64"
06/23/2009,"2,147.99","2,171.34","2,147.99","2,155.11"
06/22/2009,"2,209.42","2,209.42","2,156.49","2,156.49"
06/19/2009,"2,186.54","2,224.38","2,180.92","2,211.91"
06/18/2009,"2,186.24","2,191.29","2,160.12","2,179.78"
06/17/2009,"2,205.74","2,210.23","2,171.45","2,181.73"
06/16/2009,"2,215.05","2,232.14","2,207.44","2,210.64"
06/15/2009,"2,242.83","2,247.30","2,208.11","2,210.02"
06/12/2009,"2,275.61","2,283.82","2,262.64","2,268.71"
06/11/2009,"2,260.33","2,286.49","2,254.87","2,279.70"
06/10/2009,"2,251.78","2,300.48","2,251.78","2,267.51"
06/09/2009,"2,251.84","2,271.51","2,244.22","2,251.79"
06/08/2009,"2,260.70","2,263.68","2,237.06","2,251.85"
06/05/2009,"2,242.57","2,294.92","2,242.57","2,268.69"
06/04/2009,"2,242.21","2,266.07","2,231.19","2,242.56"
06/03/2009,"2,281.92","2,281.92","2,230.46","2,242.20"
06/02/2009,"2,284.67","2,290.43","2,267.38","2,286.26"
06/01/2009,"2,281.23","2,302.91","2,279.38","2,298.13"
05/29/2009,"2,237.16","2,276.41","2,237.16","2,252.64"
05/28/2009,"2,251.91","2,251.91","2,216.12","2,237.17"
05/27/2009,"2,247.78","2,262.10","2,239.95","2,251.90"
05/26/2009,"2,214.76","2,252.63","2,193.25","2,247.79"
05/25/2009,"2,227.98","2,242.70","2,214.45","2,227.98"
05/22/2009,"2,225.74","2,242.70","2,214.45","2,227.98"
05/21/2009,"2,280.69","2,280.69","2,211.03","2,218.25"
05/20/2009,"2,285.24","2,297.87","2,269.74","2,280.70"
05/19/2009,"2,264.47","2,298.91","2,264.47","2,285.23"
05/18/2009,"2,202.64","2,264.48","2,198.39","2,264.48"
05/15/2009,"2,238.02","2,241.62","2,200.93","2,217.48"
05/14/2009,"2,203.47","2,226.00","2,187.32","2,222.28"
05/13/2009,"2,258.46","2,269.33","2,205.67","2,206.29"
05/12/2009,"2,252.37","2,273.81","2,245.46","2,258.45"
05/11/2009,"2,282.28","2,282.28","2,246.41","2,262.67"
05/08/2009,"2,269.17","2,293.34","2,263.74","2,281.46"
05/07/2009,"2,268.73","2,312.64","2,244.11","2,252.36"
05/06/2009,"2,218.61","2,273.73","2,218.61","2,254.16"
05/05/2009,"2,174.63","2,242.93","2,174.63","2,226.60"
05/04/2009,"2,174.64","2,177.94","2,158.48","2,174.64"
05/01/2009,"2,158.48","2,177.94","2,158.48","2,174.64"
04/30/2009,"2,158.61","2,196.08","2,156.27","2,173.06"
04/29/2009,"2,097.71","2,143.41","2,092.55","2,142.42"
04/28/2009,"2,096.50","2,102.50","2,074.21","2,093.13"
04/27/2009,"2,127.38","2,134.10","2,093.73","2,128.84"
04/24/2009,"2,072.34","2,127.37","2,071.28","2,127.37"
04/23/2009,"2,055.12","2,090.35","2,049.26","2,059.08"
04/22/2009,"2,035.60","2,064.77","2,021.98","2,063.52"
04/21/2009,"2,042.40","2,055.34","1,995.42","2,038.38"
04/20/2009,"2,096.61","2,104.61","2,029.75","2,041.24"
04/17/2009,"2,083.71","2,106.38","2,072.80","2,096.60"
04/16/2009,"2,049.30","2,075.60","2,031.79","2,075.60"
04/15/2009,"2,032.34","2,058.71","2,020.32","2,033.91"
04/14/2009,"2,034.30","2,069.30","2,021.48","2,043.86"
