index,Date,week,Relevance,occurrences_rolling,occurrences_lead1,occurrences_lead2,occurrences_lead3,FTSE100,FTSEALL
3,2022-01-04,1,0.0,0.0,0.0,0.0,0.0,7505.15,4276.18
4,2022-01-05,1,0.0,0.0,0.0,0.0,0.0,7516.87,4277.51
5,2022-01-06,1,0.0,0.0,0.0,0.0,0.0,7450.37,4235.63
6,2022-01-07,1,0.0,0.0,0.0,0.0,0.0,7485.28,4249.43
9,2022-01-10,2,0.0,0.0,1.0,2.0,3.0,7445.25,4219.71
10,2022-01-11,2,1.0,0.3333333333333333,2.0,3.0,1.0,7491.37,4241.88
11,2022-01-12,2,2.0,1.0,3.0,1.0,0.0,7551.72,4270.79
12,2022-01-13,2,3.0,2.0,1.0,0.0,0.0,7563.85,4273.23
13,2022-01-14,2,1.0,2.0,0.0,0.0,3.0,7542.95,4256.59
16,2022-01-17,3,3.0,1.0,2.0,8.0,1.0,7611.23,4292.58
17,2022-01-18,3,2.0,1.6666666666666667,8.0,1.0,2.0,7563.55,4263.04
18,2022-01-19,3,8.0,4.333333333333333,1.0,2.0,0.0,7589.66,4273.79
19,2022-01-20,3,1.0,3.6666666666666665,2.0,0.0,0.0,7585.01,4274.52
20,2022-01-21,3,2.0,3.6666666666666665,0.0,0.0,0.0,7494.13,4217.31
23,2022-01-24,4,0.0,0.0,0.0,5.0,3.0,7297.15,4099.16
24,2022-01-25,4,0.0,0.0,5.0,3.0,3.0,7371.46,4139.47
25,2022-01-26,4,5.0,1.6666666666666667,3.0,3.0,0.0,7469.78,4192.7
26,2022-01-27,4,3.0,2.6666666666666665,3.0,0.0,0.0,7554.31,4230.83
27,2022-01-28,4,3.0,3.6666666666666665,0.0,0.0,4.0,7466.07,4182.58
30,2022-01-31,5,4.0,1.3333333333333333,2.0,5.0,3.0,7464.37,4191.81
31,2022-02-01,5,2.0,2.0,5.0,3.0,2.0,7535.78,4232.48
32,2022-02-02,5,5.0,3.6666666666666665,3.0,2.0,0.0,7583.0,4257.23
33,2022-02-03,5,3.0,3.3333333333333335,2.0,0.0,0.0,7528.84,4222.74
34,2022-02-04,5,2.0,3.3333333333333335,0.0,0.0,2.0,7516.4,4208.61
37,2022-02-07,6,2.0,0.6666666666666666,1.0,2.0,0.0,7573.47,4236.88
38,2022-02-08,6,1.0,1.0,2.0,0.0,4.0,7567.07,4233.62
39,2022-02-09,6,2.0,1.6666666666666667,0.0,4.0,0.0,7643.42,4282.76
40,2022-02-10,6,0.0,1.0,4.0,0.0,0.0,7672.4,4296.96
41,2022-02-11,6,4.0,2.0,0.0,0.0,2.0,7661.02,4286.38
44,2022-02-14,7,2.0,0.6666666666666666,1.0,1.0,2.0,7531.59,4211.74
45,2022-02-15,7,1.0,1.0,1.0,2.0,0.0,7608.92,4254.78
46,2022-02-16,7,1.0,1.3333333333333333,2.0,0.0,0.0,7603.78,4251.96
47,2022-02-17,7,2.0,1.3333333333333333,0.0,0.0,0.0,7537.37,4212.87
48,2022-02-18,7,0.0,1.0,0.0,0.0,1.0,7513.62,4195.45
51,2022-02-21,8,1.0,0.3333333333333333,1.0,1.0,0.0,7484.33,4172.09
52,2022-02-22,8,1.0,0.6666666666666666,1.0,0.0,1.0,7494.21,4172.35
53,2022-02-23,8,1.0,1.0,0.0,1.0,0.0,7498.18,4169.64
54,2022-02-24,8,0.0,0.6666666666666666,1.0,0.0,0.0,7207.38,4015.91
55,2022-02-25,8,1.0,0.6666666666666666,0.0,0.0,0.0,7489.46,4167.09
58,2022-02-28,9,0.0,0.0,0.0,1.0,0.0,7458.25,4157.77
59,2022-03-01,9,0.0,0.0,1.0,0.0,0.0,7330.2,4079.97
60,2022-03-02,9,1.0,0.3333333333333333,0.0,0.0,0.0,7429.56,4134.87
61,2022-03-03,9,0.0,0.3333333333333333,0.0,0.0,0.0,7238.85,4023.9
62,2022-03-04,9,0.0,0.3333333333333333,0.0,0.0,0.0,6987.14,3884.43
65,2022-03-07,10,0.0,0.0,0.0,0.0,0.0,6959.48,3862.39
66,2022-03-08,10,0.0,0.0,0.0,0.0,0.0,6964.11,3867.24
67,2022-03-09,10,0.0,0.0,0.0,0.0,0.0,7190.72,3999.43
68,2022-03-10,10,0.0,0.0,0.0,0.0,0.0,7099.09,3954.3
69,2022-03-11,10,0.0,0.0,0.0,0.0,0.0,7155.64,3988.9
72,2022-03-14,11,0.0,0.0,1.0,0.0,0.0,7193.47,4014.87
73,2022-03-15,11,1.0,0.3333333333333333,0.0,0.0,2.0,7175.7,3999.12
74,2022-03-16,11,0.0,0.3333333333333333,0.0,2.0,0.0,7291.68,4074.09
75,2022-03-17,11,0.0,0.3333333333333333,2.0,0.0,0.0,7385.34,4120.17
76,2022-03-18,11,2.0,0.6666666666666666,0.0,0.0,0.0,7404.73,4135.37
79,2022-03-21,12,0.0,0.0,0.0,0.0,0.0,7442.39,4148.21
80,2022-03-22,12,0.0,0.0,0.0,0.0,0.0,7476.72,4167.6
81,2022-03-23,12,0.0,0.0,0.0,0.0,0.0,7460.63,4156.6
82,2022-03-24,12,0.0,0.0,0.0,0.0,0.0,7467.38,4155.88
83,2022-03-25,12,0.0,0.0,0.0,0.0,1.0,7483.35,4165.33
86,2022-03-28,13,1.0,0.3333333333333333,3.0,5.0,4.0,7473.14,4164.5
87,2022-03-29,13,3.0,1.3333333333333333,5.0,4.0,1.0,7537.25,4208.38
88,2022-03-30,13,5.0,3.0,4.0,1.0,0.0,7578.75,4219.75
89,2022-03-31,13,4.0,4.0,1.0,0.0,0.0,7515.68,4187.78
90,2022-04-01,13,1.0,3.3333333333333335,0.0,0.0,2.0,7537.9,4199.48
93,2022-04-04,14,2.0,0.6666666666666666,1.0,0.0,1.0,7558.92,4213.27
94,2022-04-05,14,1.0,1.0,0.0,1.0,2.0,7613.72,4238.74
95,2022-04-06,14,0.0,1.0,1.0,2.0,0.0,7587.7,4218.12
96,2022-04-07,14,1.0,0.6666666666666666,2.0,0.0,0.0,7551.81,4199.46
97,2022-04-08,14,2.0,1.0,0.0,0.0,0.0,7669.56,4258.23
100,2022-04-11,15,0.0,0.0,1.0,4.0,2.0,7618.31,4232.53
101,2022-04-12,15,1.0,0.3333333333333333,4.0,2.0,0.0,7576.66,4210.28
102,2022-04-13,15,4.0,1.6666666666666667,2.0,0.0,0.0,7580.8,4211.9
103,2022-04-14,15,2.0,2.3333333333333335,0.0,0.0,0.0,7616.38,4232.12
108,2022-04-19,16,3.0,1.0,2.0,3.0,2.0,7601.28,4219.72
109,2022-04-20,16,2.0,1.6666666666666667,3.0,2.0,0.0,7629.22,4236.24
110,2022-04-21,16,3.0,2.6666666666666665,2.0,0.0,0.0,7627.95,4238.12
111,2022-04-22,16,2.0,2.3333333333333335,0.0,0.0,1.0,7521.68,4180.65
114,2022-04-25,17,1.0,0.3333333333333333,1.0,4.0,0.0,7380.54,4106.36
115,2022-04-26,17,1.0,0.6666666666666666,4.0,0.0,0.0,7386.19,4105.76
116,2022-04-27,17,4.0,2.0,0.0,0.0,0.0,7425.61,4121.7
117,2022-04-28,17,0.0,1.6666666666666667,0.0,0.0,0.0,7509.19,4165.89
118,2022-04-29,17,0.0,1.3333333333333333,0.0,0.0,0.0,7544.55,4185.12
122,2022-05-03,18,4.0,1.3333333333333333,2.0,2.0,5.0,7561.33,4186.77
123,2022-05-04,18,2.0,2.0,2.0,5.0,0.0,7493.45,4146.05
124,2022-05-05,18,2.0,2.6666666666666665,5.0,0.0,0.0,7503.27,4145.57
125,2022-05-06,18,5.0,3.0,0.0,0.0,3.0,7387.94,4083.36
128,2022-05-09,19,3.0,1.0,2.0,2.0,3.0,7216.58,3987.87
129,2022-05-10,19,2.0,1.6666666666666667,2.0,3.0,1.0,7243.22,4002.22
130,2022-05-11,19,2.0,2.3333333333333335,3.0,1.0,0.0,7347.66,4058.67
131,2022-05-12,19,3.0,2.3333333333333335,1.0,0.0,0.0,7233.34,3999.79
132,2022-05-13,19,1.0,2.0,0.0,0.0,0.0,7418.15,4099.06
135,2022-05-16,20,0.0,0.0,1.0,0.0,0.0,7464.8,4120.34
136,2022-05-17,20,1.0,0.3333333333333333,0.0,0.0,6.0,7518.35,4149.88
137,2022-05-18,20,0.0,0.3333333333333333,0.0,6.0,0.0,7438.09,4110.49
138,2022-05-19,20,0.0,0.3333333333333333,6.0,0.0,0.0,7302.74,4038.94
139,2022-05-20,20,6.0,2.0,0.0,0.0,2.0,7389.98,4083.84
142,2022-05-23,21,2.0,0.6666666666666666,4.0,5.0,3.0,7513.44,4150.28
143,2022-05-24,21,4.0,2.0,5.0,3.0,3.0,7484.35,4126.79
144,2022-05-25,21,5.0,3.6666666666666665,3.0,3.0,0.0,7522.75,4147.08
145,2022-05-26,21,3.0,4.0,3.0,0.0,0.0,7564.92,4176.59
146,2022-05-27,21,3.0,3.6666666666666665,0.0,0.0,2.0,7585.46,4190.21
149,2022-05-30,22,2.0,0.6666666666666666,3.0,1.0,0.0,7600.06,4202.96
150,2022-05-31,22,3.0,1.6666666666666667,1.0,0.0,0.0,7607.66,4201.96
151,2022-06-01,22,1.0,2.0,0.0,0.0,0.0,7532.95,4164.0
156,2022-06-06,23,3.0,1.0,3.0,1.0,0.0,7608.22,4206.23
157,2022-06-07,23,3.0,2.0,1.0,0.0,0.0,7598.93,4198.6
158,2022-06-08,23,1.0,2.3333333333333335,0.0,0.0,0.0,7593.0,4193.26
159,2022-06-09,23,0.0,1.3333333333333333,0.0,0.0,0.0,7476.21,4132.16
160,2022-06-10,23,0.0,0.3333333333333333,0.0,0.0,1.0,7317.52,4046.16
163,2022-06-13,24,1.0,0.3333333333333333,0.0,1.0,2.0,7205.81,3977.61
164,2022-06-14,24,0.0,0.3333333333333333,1.0,2.0,3.0,7187.46,3965.54
165,2022-06-15,24,1.0,0.6666666666666666,2.0,3.0,0.0,7273.41,4013.14
166,2022-06-16,24,2.0,1.0,3.0,0.0,0.0,7044.98,3888.27
167,2022-06-17,24,3.0,2.0,0.0,0.0,1.0,7016.25,3881.92
