index,Date,week,Relevance,occurrences_rolling,occurrences_lead1,occurrences_lead2,occurrences_lead3,FTSE100,FTSEALL
621,2023-09-14,89,0.0,0.3333333333333333,0.0,0.0,0.0,7673.08,4175.91
622,2023-09-15,89,0.0,0.3333333333333333,0.0,0.0,0.0,7711.38,4190.41
625,2023-09-18,90,0.0,0.0,0.0,1.0,0.0,7652.94,4152.91
626,2023-09-19,90,0.0,0.0,1.0,0.0,0.0,7660.2,4155.46
627,2023-09-20,90,1.0,0.3333333333333333,0.0,0.0,0.0,7731.65,4197.78
628,2023-09-21,90,0.0,0.3333333333333333,0.0,0.0,0.0,7678.62,4171.07
629,2023-09-22,90,0.0,0.3333333333333333,0.0,0.0,1.0,7683.91,4172.44
632,2023-09-25,91,1.0,0.3333333333333333,0.0,1.0,1.0,7623.99,4139.09
633,2023-09-26,91,0.0,0.3333333333333333,1.0,1.0,0.0,7625.72,4136.92
634,2023-09-27,91,1.0,0.6666666666666666,1.0,0.0,0.0,7593.22,4118.27
635,2023-09-28,91,1.0,0.6666666666666666,0.0,0.0,0.0,7601.85,4118.34
636,2023-09-29,91,0.0,0.6666666666666666,0.0,0.0,1.0,7608.08,4127.24
639,2023-10-02,92,1.0,0.3333333333333333,2.0,1.0,1.0,7510.72,4072.35
640,2023-10-03,92,2.0,1.0,1.0,1.0,0.0,7470.16,4043.72
641,2023-10-04,92,1.0,1.3333333333333333,1.0,0.0,0.0,7412.45,4010.91
642,2023-10-05,92,1.0,1.3333333333333333,0.0,0.0,0.0,7451.54,4031.93
643,2023-10-06,92,0.0,0.6666666666666666,0.0,0.0,1.0,7494.58,4055.73
646,2023-10-09,93,1.0,0.3333333333333333,0.0,1.0,0.0,7492.21,4049.14
647,2023-10-10,93,0.0,0.3333333333333333,1.0,0.0,0.0,7628.21,4124.72
648,2023-10-11,93,1.0,0.6666666666666666,0.0,0.0,0.0,7620.03,4118.2
649,2023-10-12,93,0.0,0.3333333333333333,0.0,0.0,0.0,7644.78,4128.49
650,2023-10-13,93,0.0,0.3333333333333333,0.0,0.0,0.0,7599.6,4095.5
653,2023-10-16,94,0.0,0.0,0.0,4.0,2.0,7630.63,4111.24
654,2023-10-17,94,0.0,0.0,4.0,2.0,1.0,7675.21,4137.26
655,2023-10-18,94,4.0,1.3333333333333333,2.0,1.0,0.0,7588.0,4088.24
656,2023-10-19,94,2.0,2.0,1.0,0.0,0.0,7499.53,4041.45
657,2023-10-20,94,1.0,2.3333333333333335,0.0,0.0,0.0,7402.14,3990.56
660,2023-10-23,95,0.0,0.0,0.0,0.0,0.0,7374.83,3978.44
661,2023-10-24,95,0.0,0.0,0.0,0.0,0.0,7389.7,3983.2
662,2023-10-25,95,0.0,0.0,0.0,0.0,0.0,7414.34,3990.54
663,2023-10-26,95,0.0,0.0,0.0,0.0,0.0,7354.57,3959.51
664,2023-10-27,95,0.0,0.0,0.0,0.0,1.0,7291.28,3933.17
667,2023-10-30,96,1.0,0.3333333333333333,0.0,0.0,0.0,7327.39,3954.67
668,2023-10-31,96,0.0,0.3333333333333333,0.0,0.0,1.0,7321.72,3954.35
669,2023-11-01,96,0.0,0.3333333333333333,0.0,1.0,0.0,7342.43,3967.55
670,2023-11-02,96,0.0,0.0,1.0,0.0,0.0,7446.53,4033.98
671,2023-11-03,96,1.0,0.3333333333333333,0.0,0.0,1.0,7417.73,4028.19
674,2023-11-06,97,1.0,0.3333333333333333,0.0,1.0,1.0,7417.76,4020.77
675,2023-11-07,97,0.0,0.3333333333333333,1.0,1.0,0.0,7410.04,4017.63
676,2023-11-08,97,1.0,0.6666666666666666,1.0,0.0,0.0,7401.72,4016.24
677,2023-11-09,97,1.0,0.6666666666666666,0.0,0.0,0.0,7455.67,4047.13
678,2023-11-10,97,0.0,0.6666666666666666,0.0,0.0,0.0,7360.55,3997.59
681,2023-11-13,98,0.0,0.0,0.0,0.0,,7425.83,4029.83
682,2023-11-14,98,0.0,0.0,0.0,,,7440.47,4056.79
683,2023-11-15,98,0.0,0.0,,,,7486.91,4083.22
