Date,FTSE100,FTSEALL,Relevance,occurrences_rolling,Relevance_lead1,Relevance_lead2,Relevance_lead3
2023-09-14,7673.08,4175.91,0,0.0,0.0,0.0,0.0
2023-09-15,7711.38,4190.41,0,0.0,0.0,0.0,0.0
2023-09-18,7652.94,4152.91,0,0.0,0.0,0.0,0.0
2023-09-19,7660.2,4155.46,0,0.0,0.0,0.0,0.0
2023-09-20,7731.65,4197.78,0,0.0,0.0,0.0,3.0
2023-09-21,7678.62,4171.07,0,0.0,0.0,3.0,0.0
2023-09-22,7683.91,4172.44,0,0.0,3.0,0.0,4.0
2023-09-25,7623.99,4139.09,4,2.3333333333333335,8.0,11.0,7.0
2023-09-26,7625.72,4136.92,8,4.0,11.0,7.0,11.0
2023-09-27,7593.22,4118.27,11,7.666666666666667,7.0,11.0,10.0
2023-09-28,7601.85,4118.34,7,8.666666666666666,11.0,10.0,17.0
2023-09-29,7608.08,4127.24,11,9.666666666666666,10.0,17.0,17.0
2023-10-02,7510.72,4072.35,17,14.666666666666666,100.0,93.0,33.0
2023-10-03,7470.16,4043.72,100,44.666666666666664,93.0,33.0,29.0
2023-10-04,7412.45,4010.91,93,70.0,33.0,29.0,16.0
2023-10-05,7451.54,4031.93,33,75.33333333333333,29.0,16.0,19.0
2023-10-06,7494.58,4055.73,29,51.666666666666664,16.0,19.0,9.0
2023-10-09,7492.21,4049.14,9,14.666666666666666,9.0,9.0,7.0
2023-10-10,7628.21,4124.72,9,12.333333333333334,9.0,7.0,7.0
2023-10-11,7620.03,4118.2,9,9.0,7.0,7.0,6.0
2023-10-12,7644.78,4128.49,7,8.333333333333334,7.0,6.0,4.0
2023-10-13,7599.6,4095.5,7,7.666666666666667,6.0,4.0,5.0
2023-10-16,7630.63,4111.24,5,5.0,3.0,4.0,5.0
2023-10-17,7675.21,4137.26,3,4.0,4.0,5.0,5.0
2023-10-18,7588.0,4088.24,4,4.0,5.0,5.0,4.0
2023-10-19,7499.53,4041.45,5,4.0,5.0,4.0,0.0
2023-10-20,7402.14,3990.56,5,4.666666666666667,4.0,0.0,4.0
2023-10-23,7374.83,3978.44,4,2.6666666666666665,3.0,4.0,3.0
2023-10-24,7389.7,3983.2,3,2.3333333333333335,4.0,3.0,2.0
2023-10-25,7414.34,3990.54,4,3.6666666666666665,3.0,2.0,0.0
2023-10-26,7354.57,3959.51,3,3.3333333333333335,2.0,0.0,0.0
2023-10-27,7291.28,3933.17,2,3.0,0.0,0.0,4.0
2023-10-30,7327.39,3954.67,4,1.3333333333333333,4.0,9.0,4.0
2023-10-31,7321.72,3954.35,4,2.6666666666666665,9.0,4.0,0.0
2023-11-01,7342.43,3967.55,9,5.666666666666667,4.0,0.0,3.0
2023-11-02,7446.53,4033.98,4,5.666666666666667,0.0,3.0,5.0
2023-11-03,7417.73,4028.19,0,4.333333333333333,3.0,5.0,0.0
2023-11-06,7417.76,4020.77,0,2.6666666666666665,0.0,3.0,0.0
2023-11-07,7410.04,4017.63,0,1.6666666666666667,3.0,0.0,0.0
2023-11-08,7401.72,4016.24,3,1.0,0.0,0.0,0.0
2023-11-09,7455.67,4047.13,0,1.0,0.0,0.0,0.0
2023-11-10,7360.55,3997.59,0,1.0,0.0,0.0,0.0
2023-11-13,7425.83,4029.83,0,0.0,0.0,0.0,
2023-11-14,7440.47,4056.79,0,0.0,0.0,,
2023-11-15,7486.91,4083.22,0,0.0,,,
