Date,Open,High,Low,Close
12/30/2022,"7,512.72","7,512.92","7,451.74","7,451.74"
12/29/2022,"7,497.19","7,516.36","7,434.64","7,512.72"
12/28/2022,"7,473.01","7,547.00","7,473.01","7,497.19"
12/27/2022,"7,473.01","7,473.01","7,473.01","7,473.01"
12/26/2022,"7,473.01","7,473.01","7,473.01","7,473.01"
12/23/2022,"7,469.28","7,496.40","7,462.80","7,473.01"
12/22/2022,"7,497.32","7,540.31","7,463.54","7,469.28"
12/21/2022,"7,370.62","7,498.48","7,368.72","7,497.32"
12/20/2022,"7,361.31","7,389.92","7,302.82","7,370.62"
12/19/2022,"7,332.12","7,385.38","7,332.12","7,361.31"
12/16/2022,"7,426.17","7,429.29","7,305.72","7,332.12"
12/15/2022,"7,495.93","7,495.93","7,411.07","7,426.17"
12/14/2022,"7,502.89","7,504.49","7,461.68","7,495.93"
12/13/2022,"7,445.97","7,553.36","7,428.98","7,502.89"
12/12/2022,"7,476.63","7,476.63","7,438.87","7,445.97"
12/09/2022,"7,472.17","7,498.04","7,431.44","7,476.63"
12/08/2022,"7,489.19","7,507.98","7,469.12","7,472.17"
12/07/2022,"7,521.39","7,567.23","7,489.19","7,489.19"
12/06/2022,"7,567.54","7,567.64","7,521.39","7,521.39"
12/05/2022,"7,556.23","7,598.21","7,547.76","7,567.54"
12/02/2022,"7,558.49","7,570.46","7,507.98","7,556.23"
12/01/2022,"7,573.05","7,599.70","7,552.29","7,558.49"
11/30/2022,"7,512.00","7,599.27","7,512.00","7,573.05"
11/29/2022,"7,474.02","7,543.09","7,473.99","7,512.00"
11/28/2022,"7,486.67","7,496.80","7,420.00","7,474.02"
11/25/2022,"7,466.60","7,497.23","7,461.78","7,486.67"
11/24/2022,"7,465.24","7,488.07","7,443.46","7,466.60"
11/23/2022,"7,452.84","7,498.34","7,452.84","7,465.24"
11/22/2022,"7,376.85","7,458.88","7,373.56","7,452.84"
11/21/2022,"7,385.52","7,402.79","7,343.37","7,376.85"
11/18/2022,"7,346.54","7,423.51","7,343.50","7,385.52"
11/17/2022,"7,351.19","7,354.07","7,294.75","7,346.54"
11/16/2022,"7,369.44","7,394.42","7,341.59","7,351.19"
11/15/2022,"7,385.17","7,413.01","7,344.85","7,369.44"
11/14/2022,"7,318.04","7,413.82","7,317.57","7,385.17"
11/11/2022,"7,375.34","7,408.61","7,316.84","7,318.04"
11/10/2022,"7,296.25","7,405.09","7,253.36","7,375.34"
11/09/2022,"7,306.14","7,307.80","7,263.46","7,296.25"
11/08/2022,"7,299.99","7,313.46","7,244.83","7,306.14"
11/07/2022,"7,334.84","7,346.66","7,288.00","7,299.99"
11/04/2022,"7,188.63","7,376.23","7,188.63","7,334.84"
11/03/2022,"7,144.14","7,188.63","7,076.47","7,188.63"
11/02/2022,"7,186.16","7,205.07","7,130.50","7,144.14"
11/01/2022,"7,094.53","7,221.32","7,094.53","7,186.16"
10/31/2022,"7,047.67","7,132.85","7,030.12","7,094.53"
10/28/2022,"7,073.69","7,073.69","6,997.54","7,047.67"
10/27/2022,"7,056.07","7,093.05","7,034.24","7,073.69"
10/26/2022,"7,013.48","7,057.42","6,960.11","7,056.07"
10/25/2022,"7,013.99","7,025.22","6,949.24","7,013.48"
10/24/2022,"6,969.73","7,047.37","6,914.66","7,013.99"
10/21/2022,"6,943.91","6,976.19","6,864.13","6,969.73"
10/20/2022,"6,924.99","6,954.21","6,894.85","6,943.91"
10/19/2022,"6,936.74","6,968.33","6,890.66","6,924.99"
10/18/2022,"6,920.24","7,017.40","6,920.24","6,936.74"
10/17/2022,"6,858.79","6,959.71","6,850.43","6,920.24"
10/14/2022,"6,850.27","6,976.30","6,850.27","6,858.79"
10/13/2022,"6,826.15","6,872.90","6,707.62","6,850.27"
10/12/2022,"6,885.23","6,916.94","6,793.77","6,826.15"
10/11/2022,"6,959.31","6,959.43","6,860.31","6,885.23"
10/10/2022,"6,991.09","6,999.20","6,922.94","6,959.31"
10/07/2022,"6,997.27","7,022.41","6,960.36","6,991.09"
10/06/2022,"7,052.62","7,079.74","6,961.10","6,997.27"
10/05/2022,"7,086.46","7,086.46","6,977.95","7,052.62"
10/04/2022,"6,908.76","7,088.17","6,908.67","7,086.46"
10/03/2022,"6,893.81","6,923.75","6,797.37","6,908.76"
09/30/2022,"6,881.59","6,954.92","6,840.07","6,893.81"
09/29/2022,"7,005.39","7,005.39","6,829.29","6,881.59"
09/28/2022,"6,984.59","7,011.50","6,836.28","7,005.39"
09/27/2022,"7,020.95","7,073.96","6,984.59","6,984.59"
09/26/2022,"7,018.60","7,071.11","6,937.40","7,020.95"
09/23/2022,"7,159.52","7,169.12","6,981.50","7,018.60"
09/22/2022,"7,237.64","7,243.90","7,149.59","7,159.52"
09/21/2022,"7,192.66","7,258.87","7,170.69","7,237.64"
09/20/2022,"7,236.68","7,326.54","7,171.24","7,192.66"
09/16/2022,"7,282.07","7,297.10","7,236.17","7,236.68"
09/15/2022,"7,277.30","7,329.00","7,258.67","7,282.07"
09/14/2022,"7,385.86","7,385.86","7,259.24","7,277.30"
09/13/2022,"7,473.03","7,514.04","7,385.86","7,385.86"
09/12/2022,"7,351.07","7,483.00","7,351.07","7,473.03"
09/09/2022,"7,262.06","7,386.59","7,262.06","7,351.07"
09/08/2022,"7,237.83","7,273.01","7,175.75","7,262.06"
09/07/2022,"7,300.44","7,300.44","7,186.56","7,237.83"
09/06/2022,"7,287.43","7,324.19","7,256.51","7,300.44"
09/05/2022,"7,281.19","7,288.46","7,191.17","7,287.43"
09/02/2022,"7,148.50","7,288.72","7,148.50","7,281.19"
09/01/2022,"7,284.15","7,284.15","7,131.69","7,148.50"
08/31/2022,"7,361.63","7,378.44","7,263.62","7,284.15"
08/30/2022,"7,427.31","7,486.40","7,351.12","7,361.63"
08/26/2022,"7,479.74","7,530.65","7,422.02","7,427.31"
08/25/2022,"7,471.51","7,535.70","7,469.17","7,479.74"
08/24/2022,"7,488.11","7,488.12","7,410.40","7,471.51"
