Date,Open,High,Low,Close
12/29/2023,"4,228.03","4,238.97","4,226.76","4,232.01"
12/28/2023,"4,228.99","4,239.30","4,220.05","4,228.03"
12/27/2023,"4,213.05","4,244.40","4,213.04","4,228.99"
12/26/2023,"4,213.05","4,213.05","4,213.05","4,213.05"
12/25/2023,"4,213.05","4,213.05","4,213.05","4,213.05"
12/22/2023,"4,209.79","4,220.53","4,200.69","4,213.05"
12/21/2023,"4,221.18","4,221.18","4,194.51","4,209.79"
12/20/2023,"4,175.13","4,239.74","4,175.13","4,221.18"
12/19/2023,"4,161.02","4,176.90","4,158.90","4,175.13"
12/18/2023,"4,142.92","4,168.87","4,132.49","4,161.02"
12/15/2023,"4,176.90","4,188.86","4,138.56","4,142.92"
12/14/2023,"4,112.17","4,212.91","4,112.17","4,176.90"
12/13/2023,"4,108.53","4,130.99","4,108.48","4,112.17"
12/12/2023,"4,112.31","4,142.84","4,108.53","4,108.53"
12/11/2023,"4,115.38","4,117.66","4,084.46","4,112.31"
12/08/2023,"4,093.96","4,129.55","4,092.74","4,115.38"
12/07/2023,"4,096.16","4,099.57","4,075.07","4,093.96"
12/06/2023,"4,078.65","4,109.56","4,078.32","4,096.16"
12/05/2023,"4,085.31","4,085.31","4,062.60","4,078.65"
12/04/2023,"4,094.48","4,097.33","4,071.72","4,085.31"
12/01/2023,"4,053.80","4,098.22","4,053.68","4,094.48"
11/30/2023,"4,047.89","4,079.92","4,027.15","4,053.80"
11/29/2023,"4,059.87","4,062.49","4,039.86","4,047.89"
11/28/2023,"4,064.18","4,064.18","4,034.90","4,059.87"
11/27/2023,"4,077.47","4,078.47","4,060.21","4,064.18"
11/24/2023,"4,076.10","4,080.67","4,059.33","4,077.47"
11/23/2023,"4,069.60","4,081.24","4,057.39","4,076.10"
11/22/2023,"4,071.11","4,082.64","4,060.66","4,069.60"
11/21/2023,"4,085.46","4,085.69","4,059.16","4,071.11"
11/20/2023,"4,088.05","4,089.24","4,073.10","4,085.46"
11/17/2023,"4,037.99","4,089.91","4,037.74","4,088.05"
11/16/2023,"4,083.22","4,085.37","4,037.31","4,037.99"
11/15/2023,"4,056.79","4,111.13","4,056.79","4,083.22"
11/14/2023,"4,029.83","4,059.76","4,013.92","4,056.79"
11/13/2023,"3,997.59","4,029.83","3,997.59","4,029.83"
11/10/2023,"4,047.13","4,047.13","3,976.69","3,997.59"
11/09/2023,"4,016.24","4,051.55","4,000.34","4,047.13"
11/08/2023,"4,017.63","4,037.69","4,002.73","4,016.24"
11/07/2023,"4,020.77","4,028.42","4,008.92","4,017.63"
11/06/2023,"4,028.19","4,039.44","4,018.61","4,020.77"
11/03/2023,"4,033.98","4,056.89","4,017.59","4,028.19"
11/02/2023,"3,967.55","4,042.93","3,967.55","4,033.98"
11/01/2023,"3,954.35","3,985.39","3,944.14","3,967.55"
10/31/2023,"3,954.67","3,981.19","3,948.03","3,954.35"
10/30/2023,"3,933.17","3,973.27","3,933.16","3,954.67"
10/27/2023,"3,959.51","3,974.46","3,926.69","3,933.17"
10/26/2023,"3,990.54","3,990.62","3,954.00","3,959.51"
10/25/2023,"3,983.20","3,997.21","3,969.14","3,990.54"
10/24/2023,"3,978.44","3,991.76","3,953.07","3,983.20"
10/23/2023,"3,990.56","3,990.64","3,956.78","3,978.44"
10/20/2023,"4,041.45","4,041.45","3,988.12","3,990.56"
10/19/2023,"4,088.24","4,088.24","4,039.00","4,041.45"
10/18/2023,"4,137.26","4,138.07","4,084.05","4,088.24"
10/17/2023,"4,111.24","4,139.96","4,103.68","4,137.26"
10/16/2023,"4,095.50","4,121.42","4,087.05","4,111.24"
10/13/2023,"4,128.49","4,133.82","4,092.79","4,095.50"
10/12/2023,"4,118.20","4,153.31","4,118.20","4,128.49"
10/11/2023,"4,124.72","4,135.01","4,112.71","4,118.20"
10/10/2023,"4,049.14","4,128.34","4,049.14","4,124.72"
10/09/2023,"4,055.73","4,075.36","4,043.19","4,049.14"
10/06/2023,"4,031.93","4,056.73","4,017.89","4,055.73"
10/05/2023,"4,010.91","4,052.12","4,010.77","4,031.93"
10/04/2023,"4,043.72","4,052.40","3,996.20","4,010.91"
10/03/2023,"4,072.35","4,087.47","4,043.67","4,043.72"
10/02/2023,"4,127.24","4,142.01","4,062.81","4,072.35"
09/29/2023,"4,118.34","4,159.16","4,118.34","4,127.24"
09/28/2023,"4,118.27","4,122.07","4,081.89","4,118.34"
09/27/2023,"4,136.92","4,146.86","4,110.87","4,118.27"
09/26/2023,"4,139.09","4,153.38","4,123.15","4,136.92"
09/25/2023,"4,172.44","4,172.50","4,117.01","4,139.09"
09/22/2023,"4,171.07","4,196.98","4,152.59","4,172.44"
09/21/2023,"4,197.78","4,206.46","4,167.62","4,171.07"
09/20/2023,"4,155.46","4,202.72","4,155.41","4,197.78"
09/19/2023,"4,152.91","4,169.09","4,147.36","4,155.46"
09/18/2023,"4,190.41","4,192.51","4,148.26","4,152.91"
09/15/2023,"4,175.91","4,210.74","4,175.90","4,190.41"
09/14/2023,"4,097.89","4,179.81","4,097.85","4,175.91"
09/13/2023,"4,097.97","4,106.42","4,077.63","4,097.89"
09/12/2023,"4,083.23","4,108.84","4,083.22","4,097.97"
09/11/2023,"4,072.74","4,109.36","4,068.17","4,083.23"
09/08/2023,"4,053.60","4,073.63","4,034.03","4,072.74"
09/07/2023,"4,048.70","4,064.94","4,027.66","4,053.60"
09/06/2023,"4,055.78","4,060.69","4,020.71","4,048.70"
09/05/2023,"4,063.70","4,077.43","4,031.00","4,055.78"
09/04/2023,"4,069.21","4,098.93","4,061.53","4,063.70"
09/01/2023,"4,059.53","4,085.58","4,059.52","4,069.21"
08/31/2023,"4,074.09","4,089.72","4,059.53","4,059.53"
08/30/2023,"4,067.20","4,090.66","4,067.05","4,074.20"
08/29/2023,"3,998.05","4,069.93","3,998.05","4,067.20"
08/28/2023,"3,998.05","3,998.05","3,998.05","3,998.05"
08/25/2023,"3,997.66","4,024.24","3,992.74","3,998.05"
08/24/2023,"3,992.96","4,028.35","3,992.96","3,997.66"
08/23/2023,"3,963.58","4,005.59","3,963.58","3,992.96"
08/22/2023,"3,953.40","3,983.09","3,953.40","3,963.58"
08/21/2023,"3,961.94","3,985.83","3,951.41","3,953.40"
08/18/2023,"3,992.88","3,992.88","3,938.27","3,961.94"
08/17/2023,"4,021.57","4,021.59","3,990.55","3,992.88"
08/16/2023,"4,039.10","4,044.11","4,013.67","4,021.57"
08/15/2023,"4,096.80","4,097.94","4,028.98","4,039.10"
08/14/2023,"4,105.93","4,108.50","4,082.22","4,096.80"
08/11/2023,"4,155.68","4,155.71","4,099.86","4,105.93"
08/10/2023,"4,139.36","4,158.24","4,132.78","4,155.68"
08/09/2023,"4,108.61","4,145.68","4,108.61","4,139.36"
08/08/2023,"4,122.15","4,122.18","4,090.74","4,108.61"
08/07/2023,"4,129.32","4,129.41","4,099.15","4,122.15"
08/04/2023,"4,109.59","4,131.67","4,089.71","4,129.32"
08/03/2023,"4,124.04","4,124.33","4,064.12","4,109.59"
08/02/2023,"4,180.41","4,180.41","4,104.65","4,124.04"
08/01/2023,"4,198.02","4,204.11","4,173.32","4,180.41"
07/31/2023,"4,195.17","4,210.42","4,181.44","4,198.02"
07/28/2023,"4,198.69","4,206.05","4,188.56","4,195.17"
07/27/2023,"4,188.48","4,207.98","4,184.23","4,198.69"
07/26/2023,"4,194.39","4,199.91","4,163.64","4,188.48"
07/25/2023,"4,187.55","4,199.07","4,185.29","4,194.39"
07/24/2023,"4,182.58","4,190.57","4,166.86","4,187.55"
07/21/2023,"4,177.94","4,188.74","4,172.96","4,182.58"
07/20/2023,"4,151.54","4,186.55","4,150.27","4,177.94"
07/19/2023,"4,066.80","4,167.96","4,066.80","4,151.54"
07/18/2023,"4,038.23","4,069.58","4,034.16","4,066.80"
