"Title","Subtitle","Author","Publication","SourceType","Publisher","Volume","Issue","PubDate","AlphaDate","StartPage","EndPage","PageRange","ISSN","EISSN","ISBN","Language","DocumentUrl","DOI"
"April 5, 2023 (Page 17)","","","Evening Standard (2018-)","Historical Newspapers","","","","2023-04-05","Apr 5, 2023","17","","","2516-6468","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/2798015451?accountid=10792&bdid=62715&_bd=kvhVhQNR3zBhQZPM0VEhqWUQjds%3D",""
"June 23, 2023 (Page 3)","","","Evening Standard (2018-)","Historical Newspapers","","","","2023-06-23","Jun 23, 2023","3","","","2516-6468","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/2830557607?accountid=10792&bdid=62715&_bd=b%2BUcplM04MGXpnIy5I1JMyntzH4%3D",""
"June 23, 2023 (Page 2)","","","Evening Standard (2018-)","Historical Newspapers","","","","2023-06-23","Jun 23, 2023","2","","","2516-6468","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/2830557608?accountid=10792&bdid=62715&_bd=0Z79jEJeuykOIsimMEenL1vO4PM%3D",""
"September 25, 2023 (Page 15)","","","Evening Standard (2018-)","Historical Newspapers","","","","2023-09-25","Sep 25, 2023","15","","","2516-6468","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/2869848187?accountid=10792&bdid=62715&_bd=KmiHaRg5x56XoQ3TPOcGrEawZRY%3D",""
"June 23, 2023 (Page 7)","","","Evening Standard (2018-)","Historical Newspapers","","","","2023-06-23","Jun 23, 2023","7","","","2516-6468","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/2830557603?accountid=10792&bdid=62715&_bd=DxRFQaBJPSaToQXlsBaZBtjmm4M%3D",""
"July 14, 2023 (Page 14)","","","Evening Standard (2018-)","Historical Newspapers","","","","2023-07-14","Jul 14, 2023","14","","","2516-6468","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/2839668691?accountid=10792&bdid=62715&_bd=n1jD0x2p1ZEo6FvSLH6e7CEkUlo%3D",""
"September 4, 2023 (Page 18)","","","Evening Standard (2018-)","Historical Newspapers","","","","2023-09-04","Sep 4, 2023","18","","","2516-6468","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/2862056467?accountid=10792&bdid=62715&_bd=jxg1r%2FW0xs590rZLL1TXibTNHBY%3D",""
"September 4, 2023 (Page 13)","","","Evening Standard (2018-)","Historical Newspapers","","","","2023-09-04","Sep 4, 2023","13","","","2516-6468","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/2862056462?accountid=10792&bdid=62715&_bd=jWsLnthumAHNwzCzoNshtthX4os%3D",""
"May 30, 2022 (Page 7)","","","(Page 7)","Historical Newspapers","","","","2022-05-30","May 30, 2022","7","","","2516-6468","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/2674945547?accountid=10792&bdid=62715&_bd=W82PP2nJIwJZqdrLL9r4q%2F1De2Y%3D",""
"November 9, 2023 (Page 4)","","","Evening Standard (2018-)","Historical Newspapers","","","","2023-11-09","Nov 9, 2023","4","","","2516-6468","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/2889840572?accountid=10792&bdid=62715&_bd=0TQTdcpqe%2Fe4BfFzox3duMC3Ywo%3D",""
"June 12, 2023 (Page 4)","","","Evening Standard (2018-)","Historical Newspapers","","","","2023-06-12","Jun 12, 2023","4","","","2516-6468","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/2826057408?accountid=10792&bdid=62715&_bd=sOnepapAt7yzYyffODw30UeIzJE%3D",""
"August 29, 2023 (Page 14)","","","Evening Standard (2018-)","Historical Newspapers","","","","2023-08-29","Aug 29, 2023","14","","","2516-6468","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/2859767880?accountid=10792&bdid=62715&_bd=bVk3%2Fy399N4xYUF4sjfw3%2F1YiMg%3D",""
"May 2, 2023 (Page 10)","","","Evening Standard (2018-)","Historical Newspapers","","","","2023-05-02","May 2, 2023","10","","","2516-6468","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/2809994771?accountid=10792&bdid=62715&_bd=4RR%2BN0BNbXwGV6J4apgaRbTz0lE%3D",""
"September 13, 2023 (Page 11)","","","Evening Standard (2018-)","Historical Newspapers","","","","2023-09-13","Sep 13, 2023","11","","","2516-6468","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/2865436098?accountid=10792&bdid=62715&_bd=K0xawmq29NLJdxhdvAR2rbael24%3D",""
"October 20, 2023 (Page 15)","","","Evening Standard (2018-)","Historical Newspapers","","","","2023-10-20","Oct 20, 2023","15","","","2516-6468","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/2881637496?accountid=10792&bdid=62715&_bd=XUP0uesvxS2QYUloE4u3lQSMeOQ%3D",""
"May 23, 2023 (Page 8)","","","Evening Standard (2018-)","Historical Newspapers","","","","2023-05-23","May 23, 2023","8","","","2516-6468","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/2819558079?accountid=10792&bdid=62715&_bd=8OOHJg9SLewRAlB15CDKrTCVygg%3D",""
"May 17, 2023 (Page 27)","","","Evening Standard (2018-)","Historical Newspapers","","","","2023-05-17","May 17, 2023","27","","","2516-6468","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/2816251560?accountid=10792&bdid=62715&_bd=wfqxY%2Fr%2Fwp3cs85HVs1JwYSK%2BbE%3D",""
"May 3, 2023 (Page 4)","","","Evening Standard (2018-)","Historical Newspapers","","","","2023-05-03","May 3, 2023","4","","","2516-6468","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/2810276119?accountid=10792&bdid=62715&_bd=uvRJSSFOA2RYSnrLpTka9skJ348%3D",""
"July 19, 2023 (Page 10)","","","Evening Standard (2018-)","Historical Newspapers","","","","2023-07-19","Jul 19, 2023","10","","","2516-6468","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/2840689733?accountid=10792&bdid=62715&_bd=rQJL6%2FX75tHeBH8YkyEJjG1pAFk%3D",""
"July 7, 2023 (Page 4)","","","Evening Standard (2018-)","Historical Newspapers","","","","2023-07-07","Jul 7, 2023","4","","","2516-6468","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/2836156328?accountid=10792&bdid=62715&_bd=NirzDP2keVQEyPnRdedF1%2FwGRgA%3D",""
"April 25, 2023 (Page 2)","","","Evening Standard (2018-)","Historical Newspapers","","","","2023-04-25","Apr 25, 2023","2","","","2516-6468","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/2807230890?accountid=10792&bdid=62715&_bd=4QCx6tOQpRLUa699U0Uqi14Lun8%3D",""
"August 17, 2023 (Page 18)","","","Evening Standard (2018-)","Historical Newspapers","","","","2023-08-17","Aug 17, 2023","18","","","2516-6468","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/2854275243?accountid=10792&bdid=62715&_bd=erhKHtGy%2Fv62kdy4KAUrNJMlZGk%3D",""
"May 3, 2023 (Page 2)","","","Evening Standard (2018-)","Historical Newspapers","","","","2023-05-03","May 3, 2023","2","","","2516-6468","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/2810276121?accountid=10792&bdid=62715&_bd=emlsfq%2BvZVIL7D2RRTXJHUf453w%3D",""
"September 20, 2023 (Page 40)","","","Evening Standard (2018-)","Historical Newspapers","","","","2023-09-20","Sep 20, 2023","40","","","2516-6468","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/2868530288?accountid=10792&bdid=62715&_bd=xGPWjN9eXH3%2BZ2xVBBWghzz1sts%3D",""
