Date,industrial_ord,all_share,week,occurrences,occurrences_rolling,occurrences_lead1,occurrences_lead2,occurrences_lead3
1963-06-04,312.3,99.73,127,0.0,0.0,0.0,7.0,10.0
1963-06-05,310.9,99.46,127,0.0,0.0,7.0,10.0,7.0
1963-06-06,311.0,99.24,127,7.0,2.3333333333333335,10.0,7.0,1.0
1963-06-07,309.6,98.7,127,10.0,5.666666666666667,7.0,1.0,15.0
1963-06-08,,,127,7.0,8.0,1.0,15.0,12.0
1963-06-09,,,128,1.0,6.0,15.0,12.0,9.0
1963-06-10,302.6,96.87,128,15.0,7.666666666666667,12.0,9.0,9.0
1963-06-11,307.2,97.83,128,12.0,9.333333333333334,9.0,9.0,11.0
1963-06-12,305.8,97.44,128,9.0,12.0,9.0,11.0,10.0
1963-06-13,303.7,96.88,128,9.0,10.0,11.0,10.0,15.0
1963-06-14,304.7,97.17,128,11.0,9.666666666666666,10.0,15.0,19.0
1963-06-15,,,128,10.0,10.0,15.0,19.0,16.0
1963-06-16,,,129,15.0,12.0,19.0,16.0,19.0
1963-06-17,309.4,98.04,129,19.0,14.666666666666666,16.0,19.0,11.0
1963-06-18,308.7,98.05,129,16.0,16.666666666666668,19.0,11.0,8.0
1963-06-19,307.2,97.76,129,19.0,18.0,11.0,8.0,7.0
1963-06-20,308.7,97.84,129,11.0,15.333333333333334,8.0,7.0,14.0
1963-06-21,308.3,97.9,129,8.0,12.666666666666666,7.0,14.0,11.0
1963-06-22,,,129,7.0,8.666666666666666,14.0,11.0,8.0
1963-06-23,,,130,14.0,9.666666666666666,11.0,8.0,8.0
1963-06-24,308.4,98.23,130,11.0,10.666666666666666,8.0,8.0,4.0
1963-06-25,308.5,98.18,130,8.0,11.0,8.0,4.0,9.0
1963-06-26,307.5,98.12,130,8.0,9.0,4.0,9.0,3.0
1963-06-27,307.3,98.17,130,4.0,6.666666666666667,9.0,3.0,4.0
1963-06-28,309.4,98.09,130,9.0,7.0,3.0,4.0,6.0
1963-06-29,,,130,3.0,5.333333333333333,4.0,6.0,9.0
1963-06-30,,,131,4.0,5.333333333333333,6.0,9.0,2.0
1963-07-01,309.5,98.42,131,6.0,4.333333333333333,9.0,2.0,1.0
1963-07-02,309.4,98.37,131,9.0,6.333333333333333,2.0,1.0,7.0
1963-07-03,310.6,98.67,131,2.0,5.666666666666667,1.0,7.0,2.0
1963-07-04,311.6,98.75,131,1.0,4.0,7.0,2.0,3.0
1963-07-05,311.8,98.95,131,7.0,3.3333333333333335,2.0,3.0,3.0
1963-07-06,,,131,2.0,3.3333333333333335,3.0,3.0,4.0
1963-07-07,,,132,3.0,4.0,3.0,4.0,5.0
1963-07-08,312.0,98.91,132,3.0,2.6666666666666665,4.0,5.0,2.0
1963-07-09,311.8,98.61,132,4.0,3.3333333333333335,5.0,2.0,4.0
1963-07-10,312.5,98.74,132,5.0,4.0,2.0,4.0,0.0
1963-07-11,312.3,98.81,132,2.0,3.6666666666666665,4.0,0.0,2.0
1963-07-12,311.8,98.63,132,4.0,3.6666666666666665,0.0,2.0,2.0
1963-07-13,,,132,0.0,2.0,2.0,2.0,2.0
1963-07-14,,,133,2.0,2.0,2.0,2.0,3.0
1963-07-15,313.2,98.95,133,2.0,1.3333333333333333,2.0,3.0,2.0
1963-07-16,313.8,99.03,133,2.0,2.0,3.0,2.0,1.0
1963-07-17,315.2,99.38,133,3.0,2.3333333333333335,2.0,1.0,2.0
1963-07-18,316.5,99.53,133,2.0,2.3333333333333335,1.0,2.0,1.0
1963-07-19,315.5,99.34,133,1.0,2.0,2.0,1.0,6.0
1963-07-20,,,133,2.0,1.6666666666666667,1.0,6.0,2.0
1963-07-21,,,134,1.0,1.3333333333333333,6.0,2.0,0.0
