"Title","Subtitle","Author","Publication","SourceType","Publisher","Volume","Issue","PubDate","AlphaDate","StartPage","EndPage","PageRange","ISSN","EISSN","ISBN","Language","DocumentUrl","DOI"
"Gilts and equities lose ground","Response to Profumo affair","","The Guardian (1959-2003)","Historical Newspapers","","","","1963-06-11","Jun 11, 1963","10","","","02613077","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/184826803?accountid=10792&bdid=57410&_bd=JDJxSB5YLoRcBDIRhzlQrgObeHg%3D",""
"Whatever happened to Victorian values?","NICHOLAS WAPSHOTT argues that Tory sex scandals have not helped the Thatcher revolution","WAPSHOTT, NICHOLAS","The Observer (1901- 2003)","Historical Newspapers","","","","1987-07-26","Jul 26, 1987","8","","","00297712","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/477104904?accountid=10792&bdid=57410&_bd=trRrgB%2F%2FctmZCcrzlQu10SN58rw%3D",""
"Japan's PM in Profumo row","Hashimoto is said to have fallen into a honeypot - but so far no claims have stuck, writes Andrew Higgins in Tokyo","Higgins, Andrew","The Guardian (1959-2003)","Historical Newspapers","","","","1997-12-15","Dec 15, 1997","12","","","02613077","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/188066655?accountid=10792&bdid=57410&_bd=nXbaS3KA1PEeOM%2F4dTI5FR%2B4mww%3D",""
"Turning a deaf ear to the roar of the jungle","MICHAEL WHITE says the Mates-Attali affair should remind Mr Major that in politics, the weak are always vulnerable","","The Observer (1901- 2003)","Historical Newspapers","","","","1993-06-26","Jun 26, 1993","23","","","00297712","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/477563626?accountid=10792&bdid=57410&_bd=vl84fjZ3b4hC59gz%2FE2cIRs%2BLDs%3D",""
"Ml5 Profumo killing alleged","","Norton-Taylor, Richard","The Guardian (1959-2003)","Historical Newspapers","","","","1988-05-03","May 3, 1988","7","","","02613077","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/186890433?accountid=10792&bdid=57410&_bd=UUYY4dUYLuC%2B%2FtEzNKwzRPMbVjI%3D",""
"Duchess of Argyll, queen of scandal who riveted a buttoned-up nation, dies at 80","","Ezard, John","The Guardian (1959-2003)","Historical Newspapers","","","","1993-07-28","Jul 28, 1993","20","","","02613077","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/187445254?accountid=10792&bdid=57410&_bd=URABgRiIdnbNt4unCBG1qwRfVp4%3D",""
"Profumo affair spy dies alone in Moscow flat","","Steele, Jonathan","The Guardian (1959-2003)","Historical Newspapers","","","","1994-01-19","Jan 19, 1994","20","","","02613077","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/187517980?accountid=10792&bdid=57410&_bd=7%2FdOnXMIM1Z3m%2Bmdw54%2BJo5tbRA%3D",""
"Drawing closer to Europe","Mr Profumo talks of unity","Our Diplomatic Correspondent","The Guardian (1959-2003)","Historical Newspapers","","","","1959-12-01","Dec 1, 1959","15","","","02613077","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/184585435?accountid=10792&bdid=57410&_bd=jZnSW%2F48yiylGcsts04pQS1X8kQ%3D",""
"A life to be honoured","Mr Profumo has earned society's thanks","","The Guardian (1959-2003)","Historical Newspapers","","","","2001-02-02","Feb 2, 2001","23","","","02613077","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/188706272?accountid=10792&bdid=57410&_bd=e0bxwsgejp3dtuMqPJfzrPRQN6k%3D",""
"Profumo questions at trial","","","The Guardian (1959-2003)","Historical Newspapers","","","","1963-10-08","Oct 8, 1963","2","","","02613077","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/184853060?accountid=10792&bdid=57410&_bd=SQsK39ec6J3sDM%2Frq6tkV1IiQao%3D",""
